0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103
Grand Total	1	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	6	28	30	31	34	39	46	58	60	74	81	84	110	114	137	151	173	223	283	360	433	519	606	694	724	909	1024	1251	1397	1834	2069	2547	3072	3577	4281	4789	5274	5865	6761	7529	8447	9352	10815	11933	12759	13835	14792	16116	17656	18985	20471	21700	23452	24893	26605	28160	29834	31709	33330	34972	37157	40124	42836	46711	49391	52952	56342	59662	62939	67152
Log	0	0	0.301029996	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.477121255	0.698970004	0.77815125	1.447158031	1.477121255	1.491361694	1.531478917	1.591064607	1.662757832	1.763427994	1.77815125	1.86923172	1.908485019	1.924279286	2.041392685	2.056904851	2.136720567	2.178976947	2.238046103	2.348304863	2.451786436	2.556302501	2.636487896	2.715167358	2.782472624	2.84135947	2.859738566	2.958563883	3.010299957	3.09725731	3.145196406	3.263399331	3.315760491	3.406028945	3.487421211	3.55351894	3.631545228	3.680244837	3.722140125	3.768268016	3.830010936	3.876737297	3.926702494	3.970904498	4.034026524	4.076749641	4.105816637	4.140979163	4.170026898	4.207257259	4.24689232	4.278410601	4.311139058	4.336459734	4.370179886	4.396077239	4.424963263	4.44963265	4.474711485	4.501182546	4.522835314	4.54372047	4.570040642	4.603404222	4.63180891	4.669419165	4.693647819	4.723882368	4.750832259	4.775697808	4.798919838	4.827058952
