0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
Grand Total,229,322,400,650,888,1128,1694,2036,2502,3089,3858,4636,5883,7375,9172,10149,12462,15113,17660,21157,24747,27980,31506,35713,41035,47021,53578,59138,63927,69176,74386,80539,86498,92472,97689,101739,105792,110574,115242,119827,124632,128948,132547,135586,139422,143626,147577,152271,156363,159516,162488,165155,168941,172434,175925,178972,181228,183957,187327,189973,192994,195351,197675,199414,201505,203591,205463,207428,209328,210717,211938,213013,214457,215858,217185,218268,219070
Log,2.359835482,2.507855872,2.602059991,2.812913357,2.948412966,3.0523091,3.228913406,3.308777774,3.398287305,3.489817908,3.586362223,3.666143427,3.769598848,3.867762025,3.962464046,4.006423253,4.095587747,4.179350682,4.246990699,4.325454086,4.393522558,4.44684771,4.498393269,4.552826334,4.613154438,4.672291861,4.728986498,4.771866633,4.805684324,4.839955446,4.871491206,4.906006233,4.937006066,4.966010251,4.989845664,5.007487465,5.024452828,5.04365302,5.061610787,5.078554686,5.095629564,5.110414611,5.122369903,5.132214849,5.144331308,5.157233065,5.169018678,5.1826172,5.194133994,5.202804251,5.210821293,5.217891726,5.227735061,5.236622903,5.24532756,5.252785091,5.258225298,5.264716318,5.272600378,5.278691881,5.285543807,5.290815639,5.295951747,5.299755645,5.304285827,5.308758576,5.312733625,5.31686738,5.320827324,5.323699575,5.326208832,5.328406109,5.331340226,5.334168149,5.336829827,5.338990069,5.340582908
